Vardas           Pavarde            Egzaminas ND1       ND2       ND3       ND4       ND5       
Vardenis1        Pavardenis1        6         8         4         10        1         6         
Vardenis2        Pavardenis2        9         6         10        10        2         7         
Vardenis3        Pavardenis3        4         6         8         8         3         1         
Vardenis4        Pavardenis4        6         4         4         6         3         1         
Vardenis5        Pavardenis5        2         10        10        1         7         8         
Vardenis6        Pavardenis6        5         4         1         4         1         5         
Vardenis7        Pavardenis7        9         10        3         7         10        6         
Vardenis8        Pavardenis8        9         1         6         3         9         8         
Vardenis9        Pavardenis9        1         8         3         5         4         3         
Vardenis10       Pavardenis10       10        9         5         8         10        9         
Vardenis11       Pavardenis11       8         4         8         7         2         7         
Vardenis12       Pavardenis12       5         1         7         8         7         9         
Vardenis13       Pavardenis13       9         2         6         1         4         5         
Vardenis14       Pavardenis14       4         1         5         7         6         7         
Vardenis15       Pavardenis15       7         8         6         5         4         8         
Vardenis16       Pavardenis16       10        8         6         10        4         2         
Vardenis17       Pavardenis17       5         5         2         9         7         6         
Vardenis18       Pavardenis18       4         4         2         8         1         5         
Vardenis19       Pavardenis19       2         6         9         8         7         2         
Vardenis20       Pavardenis20       9         2         2         8         9         5         
Vardenis21       Pavardenis21       3         3         1         9         4         4         
Vardenis22       Pavardenis22       5         9         9         10        4         8         
Vardenis23       Pavardenis23       5         4         3         5         2         2         
Vardenis24       Pavardenis24       4         5         8         6         3         9         
Vardenis25       Pavardenis25       5         8         4         4         10        10        
Vardenis26       Pavardenis26       8         6         2         2         1         4         
Vardenis27       Pavardenis27       6         8         6         6         5         9         
Vardenis28       Pavardenis28       5         4         1         8         2         3         
Vardenis29       Pavardenis29       10        5         2         3         5         4         
Vardenis30       Pavardenis30       5         2         1         8         6         6         
Vardenis31       Pavardenis31       8         9         5         8         5         10        
Vardenis32       Pavardenis32       7         10        1         10        5         9         
Vardenis33       Pavardenis33       3         8         10        9         9         4         
Vardenis34       Pavardenis34       10        4         2         1         3         9         
Vardenis35       Pavardenis35       1         7         5         7         3         7         
Vardenis36       Pavardenis36       9         4         7         6         10        4         
Vardenis37       Pavardenis37       9         8         1         9         1         6         
Vardenis38       Pavardenis38       4         1         7         3         2         2         
Vardenis39       Pavardenis39       5         4         5         3         9         3         
Vardenis40       Pavardenis40       5         4         3         4         2         6         
Vardenis41       Pavardenis41       7         9         7         8         5         3         
Vardenis42       Pavardenis42       10        4         1         10        5         4         
Vardenis43       Pavardenis43       6         4         4         3         4         8         
Vardenis44       Pavardenis44       5         9         5         5         7         5         
Vardenis45       Pavardenis45       2         6         8         4         1         1         
Vardenis46       Pavardenis46       6         2         8         3         8         9         
Vardenis47       Pavardenis47       9         10        2         6         9         4         
Vardenis48       Pavardenis48       10        10        8         7         6         2         
Vardenis49       Pavardenis49       6         3         9         4         1         8         
Vardenis50       Pavardenis50       4         8         6         7         1         8         
Vardenis51       Pavardenis51       1         4         5         10        2         9         
Vardenis52       Pavardenis52       7         6         9         1         8         7         
Vardenis53       Pavardenis53       1         4         8         8         4         2         
Vardenis54       Pavardenis54       2         2         2         10        4         4         
Vardenis55       Pavardenis55       2         5         3         10        4         1         
Vardenis56       Pavardenis56       5         2         4         5         9         4         
Vardenis57       Pavardenis57       8         9         5         8         7         5         
Vardenis58       Pavardenis58       7         4         8         7         9         6         
Vardenis59       Pavardenis59       1         2         4         5         2         8         
Vardenis60       Pavardenis60       10        4         3         7         7         10        
Vardenis61       Pavardenis61       7         3         10        5         6         5         
Vardenis62       Pavardenis62       8         2         5         10        4         1         
Vardenis63       Pavardenis63       1         7         8         7         6         3         
Vardenis64       Pavardenis64       10        6         5         4         4         6         
Vardenis65       Pavardenis65       10        3         4         4         6         9         
Vardenis66       Pavardenis66       2         2         9         4         2         2         
Vardenis67       Pavardenis67       9         8         5         4         10        3         
Vardenis68       Pavardenis68       9         5         4         4         8         1         
Vardenis69       Pavardenis69       5         4         8         4         1         5         
Vardenis70       Pavardenis70       3         5         4         6         10        8         
Vardenis71       Pavardenis71       2         9         1         6         4         3         
Vardenis72       Pavardenis72       6         9         1         9         3         10        
Vardenis73       Pavardenis73       4         4         2         7         2         10        
Vardenis74       Pavardenis74       7         6         10        7         8         1         
Vardenis75       Pavardenis75       9         10        1         1         9         1         
Vardenis76       Pavardenis76       6         6         3         8         9         1         
Vardenis77       Pavardenis77       6         10        8         10        6         3         
Vardenis78       Pavardenis78       9         5         1         10        2         4         
Vardenis79       Pavardenis79       9         10        7         10        6         4         
Vardenis80       Pavardenis80       8         7         9         5         6         4         
Vardenis81       Pavardenis81       2         1         5         2         4         10        
Vardenis82       Pavardenis82       6         6         10        7         6         4         
Vardenis83       Pavardenis83       10        5         8         7         7         3         
Vardenis84       Pavardenis84       2         8         2         2         3         1         
Vardenis85       Pavardenis85       9         7         1         9         5         2         
Vardenis86       Pavardenis86       2         3         9         2         5         8         
Vardenis87       Pavardenis87       1         7         4         6         1         3         
Vardenis88       Pavardenis88       4         3         7         1         3         6         
Vardenis89       Pavardenis89       6         8         10        7         6         3         
Vardenis90       Pavardenis90       3         7         7         6         5         6         
Vardenis91       Pavardenis91       6         3         3         5         5         5         
Vardenis92       Pavardenis92       8         9         6         8         9         4         
Vardenis93       Pavardenis93       2         6         6         4         10        1         
Vardenis94       Pavardenis94       1         9         7         2         1         6         
Vardenis95       Pavardenis95       7         2         2         1         5         8         
Vardenis96       Pavardenis96       10        9         6         5         10        10        
Vardenis97       Pavardenis97       7         10        9         6         2         2         
Vardenis98       Pavardenis98       7         8         2         8         5         4         
Vardenis99       Pavardenis99       9         10        4         1         10        1         
Vardenis100      Pavardenis100      8         7         4         2         8         6         
Vardenis101      Pavardenis101      6         8         8         1         4         6         
Vardenis102      Pavardenis102      3         1         3         2         2         10        
Vardenis103      Pavardenis103      7         1         1         10        10        9         
Vardenis104      Pavardenis104      1         3         2         1         2         4         
Vardenis105      Pavardenis105      2         5         6         4         2         7         
Vardenis106      Pavardenis106      7         3         9         7         5         3         
Vardenis107      Pavardenis107      2         7         1         3         3         2         
Vardenis108      Pavardenis108      10        2         1         5         2         9         
Vardenis109      Pavardenis109      6         3         9         3         1         2         
Vardenis110      Pavardenis110      1         7         1         6         6         5         
Vardenis111      Pavardenis111      8         3         9         7         10        3         
Vardenis112      Pavardenis112      3         9         6         5         4         2         
Vardenis113      Pavardenis113      4         1         3         1         3         10        
Vardenis114      Pavardenis114      10        7         2         2         3         10        
Vardenis115      Pavardenis115      1         8         1         4         1         1         
Vardenis116      Pavardenis116      1         4         9         3         2         6         
Vardenis117      Pavardenis117      10        5         2         6         2         4         
Vardenis118      Pavardenis118      5         6         1         5         4         4         
Vardenis119      Pavardenis119      8         1         3         8         6         9         
Vardenis120      Pavardenis120      10        3         7         10        3         2         
Vardenis121      Pavardenis121      1         10        2         2         3         8         
Vardenis122      Pavardenis122      10        9         10        2         9         2         
Vardenis123      Pavardenis123      10        6         2         7         5         7         
Vardenis124      Pavardenis124      5         9         7         7         1         5         
Vardenis125      Pavardenis125      8         4         2         1         7         10        
Vardenis126      Pavardenis126      5         9         1         2         9         5         
Vardenis127      Pavardenis127      10        2         10        7         3         8         
Vardenis128      Pavardenis128      7         9         7         4         9         2         
Vardenis129      Pavardenis129      3         6         1         5         2         1         
Vardenis130      Pavardenis130      9         9         6         4         3         5         
Vardenis131      Pavardenis131      7         8         9         3         4         9         
Vardenis132      Pavardenis132      1         1         4         10        1         10        
Vardenis133      Pavardenis133      4         5         2         9         6         6         
Vardenis134      Pavardenis134      7         5         5         9         6         3         
Vardenis135      Pavardenis135      3         6         3         7         1         10        
Vardenis136      Pavardenis136      10        2         8         4         7         9         
Vardenis137      Pavardenis137      3         6         9         10        7         8         
Vardenis138      Pavardenis138      6         8         1         8         5         6         
Vardenis139      Pavardenis139      10        4         3         7         4         3         
Vardenis140      Pavardenis140      4         6         1         6         2         4         
Vardenis141      Pavardenis141      2         5         5         10        9         4         
Vardenis142      Pavardenis142      3         9         8         8         9         5         
Vardenis143      Pavardenis143      6         4         6         8         10        9         
Vardenis144      Pavardenis144      4         7         2         8         7         3         
Vardenis145      Pavardenis145      9         2         6         7         5         3         
Vardenis146      Pavardenis146      6         3         7         8         6         2         
Vardenis147      Pavardenis147      2         9         1         5         3         2         
Vardenis148      Pavardenis148      5         9         7         8         7         3         
Vardenis149      Pavardenis149      3         2         7         3         1         8         
Vardenis150      Pavardenis150      1         3         5         4         8         3         
Vardenis151      Pavardenis151      8         3         2         6         4         6         
Vardenis152      Pavardenis152      1         2         5         3         8         10        
Vardenis153      Pavardenis153      4         1         1         3         6         10        
